Business Name,Label,Priority,Category,City,Status,Last Contact,Next Follow Up,Next Action,Notes
Village Barber Shop,Lead - No Website,1,Barbershop,Belleville,New,,,Initial outreach,
Planet Hair,Lead - No Website,2,Salon,Belleville,New,,,Initial outreach,
Sassy Scissors Salon,Lead - No Website,3,Salon,Belleville,New,,,Initial outreach,
TMT Landscaping,Lead - Weak Presence,4,Landscaping,Belleville,New,,,Initial outreach,
Irrigation Doctor,Lead - No Website,5,Home Service,Belleville,New,,,Initial outreach,
Barber Bob's II,Lead - Weak Presence,6,Barbershop,Belleville,New,,,Initial outreach,
Barber Bob's,Lead - Weak Presence,7,Barbershop,Belleville,New,,,Initial outreach,
Presidential Barbering,Lead - Weak Presence,8,Barbershop,Belleville,New,,,Initial outreach,
Bake Shoppe,Lead - Weak Presence,9,Bakery,Belleville,New,,,Initial outreach,
Bangkok City Cafe,Lead - Weak Presence,10,Restaurant,Belleville,New,,,Initial outreach,
Britts Bow Wow Boutique,Lead - Weak Presence,11,Pet Service,Belleville,New,,,Initial outreach,
Fresh Solutions Cleaning Service,Lead - No Website,12,Cleaning,Belleville,New,,,Initial outreach,
S.A.M. Cleaning & Janitorial LLC,Lead - Weak Presence,13,Cleaning,Belleville,New,,,Initial outreach,
A-New Snow Removal and Tree Service,Lead - Weak Presence,14,Tree Service,Belleville,New,,,Initial outreach,
Strickland Lawn Svc LLC,Lead - Weak Presence,15,Lawn Care,Belleville,New,,,Initial outreach,
